month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios
2019-08-01;7;-0.0071428571428571435;-14.571428571428571;;;
2019-09-01;41;-0.019512195121951226;-15.024390243902438;;;
