month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2006-09-01;162;-0.009938271604938275;-9.037037037037036;2006-09-01;Varones;225.0;0.0;22.0;34.0;24.0;22.0;8.0;16.0;21.0;14.0;15.0;18.0;16.0;9.0;3.0;3.0;
2006-10-01;158;-0.011075949367088613;-10.753164556962025;2006-10-01;Varones;213.0;0.0;17.0;51.0;20.0;19.0;15.0;9.0;17.0;14.0;11.0;19.0;10.0;6.0;5.0;0.0;
2006-11-01;153;-0.005098039215686275;-4.862745098039215;2006-11-01;Varones;167.0;0.0;21.0;24.0;20.0;17.0;13.0;15.0;13.0;6.0;9.0;11.0;10.0;4.0;3.0;1.0;
2006-12-01;150;-0.014066666666666663;-20.426666666666666;2006-12-01;Varones;139.0;1.0;18.0;23.0;12.0;15.0;11.0;4.0;7.0;5.0;14.0;17.0;7.0;4.0;0.0;1.0;
2007-01-01;192;-0.0076562500000000025;-3.2447916666666665;2007-01-01;Varones;199.0;2.0;23.0;26.0;26.0;14.0;12.0;13.0;7.0;13.0;15.0;15.0;15.0;16.0;2.0;0.0;
2007-02-01;185;-0.010216216216216219;-9.881081081081081;2007-02-01;Varones;188.0;1.0;29.0;35.0;14.0;13.0;13.0;10.0;10.0;9.0;12.0;16.0;14.0;7.0;2.0;3.0;
2007-03-01;182;-0.007472527472527475;-8.054945054945055;2007-03-01;Varones;218.0;0.0;19.0;37.0;17.0;19.0;11.0;21.0;16.0;12.0;20.0;17.0;13.0;13.0;2.0;1.0;
2007-04-01;147;-0.011768707482993203;-13.115646258503402;2007-04-01;Varones;201.0;0.0;23.0;30.0;25.0;11.0;13.0;12.0;16.0;13.0;14.0;18.0;18.0;5.0;3.0;0.0;
2007-05-01;156;-0.013974358974358982;-15.935897435897436;2007-05-01;Varones;232.0;1.0;30.0;32.0;26.0;22.0;17.0;16.0;10.0;12.0;15.0;19.0;18.0;9.0;4.0;1.0;
2007-06-01;116;-0.010862068965517247;-13.586206896551724;2007-06-01;Varones;229.0;0.0;22.0;43.0;22.0;18.0;11.0;18.0;17.0;20.0;17.0;17.0;14.0;8.0;2.0;0.0;
2007-07-01;126;-0.016428571428571435;-12.761904761904763;2007-07-01;Varones;246.0;0.0;24.0;42.0;20.0;19.0;20.0;16.0;11.0;9.0;21.0;26.0;19.0;16.0;2.0;1.0;
2007-08-01;211;-0.004691943127962088;-10.701421800947868;2007-08-01;Varones;214.0;0.0;27.0;37.0;19.0;17.0;11.0;16.0;15.0;12.0;15.0;18.0;15.0;11.0;1.0;0.0;
2007-09-01;248;-0.00560483870967742;5.645161290322581;2007-09-01;Varones;203.0;2.0;15.0;29.0;19.0;21.0;20.0;11.0;15.0;13.0;12.0;24.0;8.0;12.0;2.0;0.0;
2007-10-01;160;-0.007250000000000002;-8.8125;2007-10-01;Varones;187.0;0.0;22.0;27.0;16.0;23.0;17.0;12.0;12.0;12.0;9.0;10.0;16.0;8.0;3.0;0.0;
2007-11-01;106;-0.009339622641509436;-8.622641509433961;2007-11-01;Varones;180.0;1.0;20.0;34.0;21.0;17.0;12.0;12.0;12.0;7.0;9.0;11.0;15.0;6.0;2.0;1.0;
2007-12-01;127;-0.019527559055118115;-15.393700787401574;2007-12-01;Varones;166.0;0.0;16.0;28.0;17.0;14.0;10.0;8.0;12.0;13.0;11.0;9.0;14.0;11.0;3.0;0.0;
2008-01-01;142;-0.013028169014084512;-13.04225352112676;2008-01-01;Varones;203.0;0.0;21.0;36.0;20.0;13.0;16.0;24.0;8.0;19.0;10.0;19.0;12.0;5.0;0.0;0.0;
2008-02-01;180;-0.017999999999999995;-17.516666666666666;2008-02-01;Varones;203.0;1.0;30.0;31.0;18.0;10.0;11.0;22.0;13.0;19.0;14.0;12.0;10.0;7.0;5.0;0.0;
2008-03-01;154;-0.015259740259740258;-11.03896103896104;2008-03-01;Varones;246.0;0.0;34.0;48.0;23.0;27.0;27.0;13.0;13.0;11.0;12.0;14.0;16.0;6.0;2.0;0.0;
2008-04-01;158;-0.02164556962025316;-23.82278481012658;2008-04-01;Varones;218.0;1.0;30.0;44.0;20.0;23.0;10.0;10.0;16.0;17.0;11.0;15.0;12.0;6.0;3.0;0.0;
2008-05-01;134;-0.007985074626865676;-10.880597014925373;2008-05-01;Varones;227.0;0.0;18.0;39.0;26.0;21.0;18.0;11.0;14.0;17.0;16.0;15.0;18.0;10.0;3.0;1.0;
2008-06-01;115;-0.00965217391304348;-6.504347826086956;2008-06-01;Varones;258.0;0.0;25.0;39.0;26.0;21.0;19.0;16.0;16.0;14.0;22.0;18.0;24.0;13.0;2.0;3.0;
2008-07-01;196;-0.012806122448979593;-9.142857142857142;2008-07-01;Varones;229.0;0.0;31.0;30.0;27.0;18.0;30.0;18.0;11.0;14.0;12.0;16.0;14.0;6.0;0.0;2.0;
2008-08-01;148;-0.008918918918918921;-13.743243243243244;2008-08-01;Varones;231.0;0.0;28.0;44.0;18.0;28.0;17.0;16.0;11.0;8.0;17.0;23.0;14.0;4.0;3.0;0.0;
2008-09-01;177;-0.009548022598870061;-18.271186440677965;2008-09-01;Varones;213.0;0.0;18.0;42.0;16.0;18.0;20.0;19.0;10.0;7.0;14.0;26.0;14.0;6.0;3.0;0.0;
2008-10-01;150;-0.013266666666666673;-21.086666666666666;2008-10-01;Varones;234.0;0.0;26.0;29.0;31.0;22.0;19.0;18.0;14.0;14.0;20.0;10.0;16.0;11.0;4.0;0.0;
2008-11-01;173;-0.012312138728323707;-10.699421965317919;2008-11-01;Varones;206.0;0.0;22.0;35.0;21.0;18.0;19.0;13.0;19.0;15.0;14.0;10.0;10.0;5.0;4.0;1.0;
2008-12-01;174;-0.014195402298850574;-11.379310344827585;2008-12-01;Varones;208.0;0.0;25.0;38.0;16.0;20.0;19.0;19.0;18.0;12.0;10.0;13.0;10.0;5.0;2.0;1.0;
2009-01-01;194;-0.017938144329896905;-12.54639175257732;2009-01-01;Varones;218.0;0.0;31.0;42.0;21.0;19.0;11.0;19.0;12.0;8.0;12.0;17.0;9.0;11.0;5.0;1.0;
2009-02-01;213;-0.01375586854460094;-9.863849765258216;2009-02-01;Varones;208.0;0.0;23.0;35.0;19.0;23.0;21.0;24.0;14.0;10.0;8.0;17.0;8.0;5.0;1.0;0.0;
2009-03-01;203;-0.017192118226600977;-8.94088669950739;2009-03-01;Varones;209.0;0.0;24.0;32.0;17.0;30.0;15.0;14.0;19.0;14.0;16.0;15.0;5.0;6.0;2.0;0.0;
2009-04-01;166;-0.008915662650602415;-5.716867469879518;2009-04-01;Varones;210.0;0.0;17.0;33.0;15.0;24.0;18.0;14.0;19.0;11.0;17.0;17.0;13.0;9.0;3.0;0.0;
