index;month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
32.0;2007-09-01;248;-0.00560483870967742;5.645161290322581;2007-09-01;Mujeres;69.0;1.0;4.0;13.0;6.0;7.0;4.0;2.0;6.0;6.0;6.0;5.0;6.0;2.0;1.0;0.0;
33.0;2007-10-01;160;-0.007250000000000002;-8.8125;2007-10-01;Mujeres;62.0;0.0;5.0;6.0;8.0;4.0;4.0;5.0;4.0;5.0;7.0;8.0;3.0;3.0;0.0;0.0;
34.0;2007-11-01;106;-0.009339622641509436;-8.622641509433961;2007-11-01;Mujeres;57.0;0.0;7.0;7.0;4.0;5.0;4.0;7.0;3.0;1.0;7.0;4.0;7.0;0.0;1.0;0.0;
35.0;2007-12-01;127;-0.019527559055118115;-15.393700787401574;2007-12-01;Mujeres;67.0;0.0;6.0;14.0;6.0;5.0;4.0;6.0;10.0;3.0;4.0;3.0;5.0;1.0;0.0;0.0;
36.0;2008-01-01;142;-0.013028169014084512;-13.04225352112676;2008-01-01;Mujeres;68.0;1.0;5.0;11.0;2.0;7.0;2.0;9.0;4.0;5.0;4.0;9.0;3.0;5.0;1.0;0.0;
37.0;2008-02-01;180;-0.017999999999999995;-17.516666666666666;2008-02-01;Mujeres;54.0;0.0;3.0;6.0;5.0;5.0;4.0;3.0;5.0;6.0;5.0;5.0;5.0;2.0;0.0;0.0;
38.0;2008-03-01;154;-0.015259740259740258;-11.03896103896104;2008-03-01;Mujeres;63.0;0.0;6.0;12.0;6.0;2.0;3.0;4.0;9.0;4.0;4.0;2.0;3.0;7.0;1.0;0.0;
39.0;2008-04-01;158;-0.02164556962025316;-23.82278481012658;2008-04-01;Mujeres;65.0;0.0;5.0;12.0;11.0;9.0;5.0;7.0;4.0;1.0;3.0;3.0;2.0;2.0;1.0;0.0;
40.0;2008-05-01;134;-0.007985074626865676;-10.880597014925373;2008-05-01;Mujeres;55.0;1.0;8.0;9.0;3.0;2.0;8.0;4.0;2.0;5.0;2.0;5.0;5.0;1.0;0.0;0.0;
41.0;2008-06-01;115;-0.00965217391304348;-6.504347826086956;2008-06-01;Mujeres;68.0;0.0;6.0;7.0;6.0;4.0;7.0;4.0;5.0;6.0;8.0;5.0;2.0;6.0;2.0;0.0;
42.0;2008-07-01;196;-0.012806122448979593;-9.142857142857142;2008-07-01;Mujeres;72.0;0.0;4.0;9.0;6.0;6.0;6.0;3.0;10.0;6.0;7.0;6.0;6.0;2.0;1.0;0.0;
43.0;2008-08-01;148;-0.008918918918918921;-13.743243243243244;2008-08-01;Mujeres;65.0;0.0;7.0;7.0;12.0;2.0;2.0;7.0;6.0;2.0;8.0;7.0;5.0;0.0;0.0;0.0;
44.0;2008-09-01;177;-0.009548022598870061;-18.271186440677965;2008-09-01;Mujeres;69.0;0.0;7.0;9.0;3.0;7.0;6.0;8.0;3.0;6.0;5.0;5.0;6.0;2.0;1.0;1.0;
45.0;2008-10-01;150;-0.013266666666666673;-21.086666666666666;2008-10-01;Mujeres;70.0;0.0;8.0;11.0;5.0;6.0;4.0;6.0;7.0;9.0;4.0;5.0;2.0;3.0;0.0;0.0;
46.0;2008-11-01;173;-0.012312138728323707;-10.699421965317919;2008-11-01;Mujeres;67.0;0.0;7.0;7.0;12.0;7.0;5.0;6.0;3.0;5.0;3.0;5.0;2.0;5.0;0.0;0.0;
47.0;2008-12-01;174;-0.014195402298850574;-11.379310344827585;2008-12-01;Mujeres;65.0;0.0;6.0;8.0;8.0;3.0;7.0;6.0;4.0;4.0;6.0;7.0;4.0;1.0;1.0;0.0;
48.0;2009-01-01;194;-0.017938144329896905;-12.54639175257732;2009-01-01;Mujeres;57.0;1.0;5.0;7.0;9.0;4.0;6.0;2.0;5.0;3.0;2.0;7.0;3.0;3.0;0.0;0.0;
49.0;2009-02-01;213;-0.01375586854460094;-9.863849765258216;2009-02-01;Mujeres;62.0;0.0;3.0;11.0;5.0;7.0;4.0;9.0;4.0;2.0;5.0;3.0;8.0;0.0;1.0;0.0;
50.0;2009-03-01;203;-0.017192118226600977;-8.94088669950739;2009-03-01;Mujeres;63.0;0.0;8.0;10.0;6.0;7.0;5.0;2.0;7.0;7.0;6.0;1.0;3.0;1.0;0.0;0.0;
51.0;2009-04-01;166;-0.008915662650602415;-5.716867469879518;2009-04-01;Mujeres;48.0;0.0;3.0;7.0;1.0;4.0;4.0;6.0;7.0;3.0;1.0;3.0;7.0;2.0;0.0;0.0;
52.0;2009-05-01;158;-0.0064556962025316455;-4.829113924050633;2009-05-01;Mujeres;65.0;0.0;5.0;11.0;3.0;7.0;7.0;4.0;7.0;5.0;5.0;4.0;5.0;2.0;0.0;0.0;
53.0;2009-06-01;139;-0.009784172661870507;-7.913669064748201;2009-06-01;Mujeres;74.0;0.0;7.0;13.0;14.0;4.0;1.0;6.0;5.0;7.0;4.0;3.0;5.0;3.0;2.0;0.0;
54.0;2009-07-01;150;-0.012000000000000007;-10.473333333333333;2009-07-01;Mujeres;65.0;0.0;4.0;13.0;7.0;7.0;2.0;2.0;4.0;5.0;2.0;7.0;10.0;1.0;1.0;0.0;
55.0;2009-08-01;149;-0.008389261744966445;-7.818791946308725;2009-08-01;Mujeres;65.0;0.0;5.0;8.0;6.0;8.0;5.0;4.0;2.0;4.0;12.0;7.0;1.0;2.0;1.0;0.0;
56.0;2009-09-01;171;-0.008713450292397666;-9.865497076023392;2009-09-01;Mujeres;70.0;0.0;9.0;8.0;7.0;7.0;3.0;6.0;6.0;7.0;2.0;9.0;2.0;4.0;0.0;0.0;
57.0;2009-10-01;188;-0.00936170212765958;-12.356382978723405;2009-10-01;Mujeres;71.0;0.0;5.0;12.0;6.0;6.0;5.0;5.0;5.0;10.0;4.0;5.0;5.0;1.0;1.0;1.0;
58.0;2009-11-01;172;-0.014186046511627913;-16.843023255813954;2009-11-01;Mujeres;71.0;0.0;4.0;10.0;8.0;11.0;3.0;6.0;6.0;4.0;2.0;8.0;3.0;5.0;0.0;1.0;
59.0;2009-12-01;200;-0.01594999999999999;-17.35;2009-12-01;Mujeres;52.0;0.0;8.0;9.0;4.0;4.0;4.0;5.0;3.0;5.0;2.0;3.0;2.0;3.0;0.0;0.0;
60.0;2010-01-01;167;-0.01173652694610779;-13.826347305389222;2010-01-01;Mujeres;47.0;0.0;1.0;7.0;3.0;4.0;5.0;8.0;2.0;7.0;2.0;6.0;1.0;1.0;0.0;0.0;
61.0;2010-02-01;154;-0.009805194805194812;-12.175324675324676;2010-02-01;Mujeres;57.0;0.0;0.0;6.0;5.0;12.0;3.0;3.0;7.0;5.0;2.0;6.0;1.0;6.0;1.0;0.0;
62.0;2010-03-01;168;-0.008750000000000003;-8.845238095238095;2010-03-01;Mujeres;58.0;0.0;7.0;8.0;9.0;5.0;9.0;7.0;5.0;1.0;3.0;3.0;0.0;1.0;0.0;0.0;
